"","var_niv_digit","var_tam_forca","var_tam_clientela","var_interdep_bases","var_interdep_svc","var_complex_amb_exec","var_complex_amb_fed","var_discricion_tec","var_discricion_agend","var_centrado_user","var_percep_util","var_alinha_TI","var_fat_res_leg","var_fat_infra","var_fat_integra","var_fat_rec_fin","var_fat_rec_hum","var_fat_priorir","var_fa1_div_digit","var_fat_res_int","var_fat_res_ext","v_id","v_Q002","v_Q003","v_Q001","v_adm_dir_ind","v_orgao_central","v_Q005","v_Q007_SQ025","v_Q007_SQ002","v_Q007_SQ003","v_Q007_SQ005","v_Q007_SQ006","v_Q007_SQ007","v_Q007_SQ026","v_Q007_SQ008","v_Q007_SQ009","v_Q007_SQ010","v_Q007_SQ011","v_Q007_SQ012","v_Q007_SQ013","v_Q007_SQ014","v_Q007_SQ015","v_Q007_SQ016","v_Q007_SQ017","v_Q007_SQ018","v_Q007_SQ019","v_Q007_SQ020","v_Q007_SQ022","v_Q007_SQ023","v_Q007_r467sq0","v_Q007_outros","v_Q008_SQ002","v_Q008_SQ003","v_Q008_SQ004","v_Q008_SQ005","v_Q008_SQ006","v_Q008_SQ007","v_Q008_SQ008","v_Q008_SQ009","v_Q008_SQ010","v_Q008_outros","v_Q009_SQ001","v_Q009_SQ002","v_Q009_SQ003","v_Q009_SQ004","v_Q009_SQ005","v_Q009_SQ006","v_Q009_SQ007","v_Q009_SQ008","v_Q009_outros","v_Q0097","v_Q0098","v_Q0099","v_Q00912_SQ001","v_Q00912_SQ002","v_Q00912_SQ003","v_Q00912_SQ004","v_Q00912_SQ005","v_Q00912_SQ006","v_Q00912_SQ007","v_Q00912_SQ024","v_Q00912_SQ009","v_Q00912_Comrcio","v_Q00912_SQ011","v_Q00912_SQ012","v_Q00912_SQ013","v_Q00912_SQ014","v_Q00912_SQ015","v_Q00912_SQ016","v_Q00912_SQ018","v_Q00912_SQ019","v_Q00912_outros","v_Q010","v_Q0102","v_Q011","v_Q012","v_Q013","v_Q0134","v_Q0135","v_Q0136_SQ002","v_Q0136_SQ003","v_Q0136_SQ004","v_Q0136_SQ005","v_Q0136_SQ006","v_Q0136_SQ007","v_Q0136_SQ008","v_Q0136_SQ009","v_Q0136_SQ010","v_Q0136_SQ011","v_Q0136_SQ012","v_Q0136_SQ013","v_Q014","v_Q0143_SQ002","v_Q0143_SQ003","v_Q0143_SQ004","v_Q0143_SQ005","v_Q0143_SQ006","v_Q0143_other","v_Q0144","v_Q0145","v_Q015","v_Q016_SQ001","v_Q016_SQ002","v_Q016_SQ003","v_Q016_SQ004","v_Q016_SQ005","v_Q016_outros","v_Q017","v_Q018","v_Q019_SQ001","v_Q019_SQ002","v_Q019_SQ004","v_Q019_SQ003","v_Q01941_SQ001","v_Q01941_SQ002","v_Q01941_SQ003","v_Q01941_other","v_Q020","v_Q0204","v_Q021","v_Q022","v_Q023_SQ001","v_Q023_SQ002","v_Q023_SQ003","v_Q023_SQ004","v_Q023_SQ005","v_Q024_SQ001","v_Q024_SQ002","v_Q024_SQ003","v_Q024_SQ004","v_Q024_SQ005","v_Q024_SQ006","v_Q024_SQ007","v_Q024_SQ008","v_Q024_SQ009","v_Q024_other","v_Q025","v_Q02561_SQ001","v_Q02561_SQ002","v_Q02561_SQ003","v_Q02561_SQ004","v_Q02561_SQ005","v_Q02561_SQ006","v_Q02561_SQ007","v_Q02561_SQ008","v_Q02561_SQ009","v_Q02561_other","v_Q02562_SQ001","v_Q02562_SQ002","v_Q02562_SQ003","v_Q02562_SQ004","v_Q02562_SQ005","v_Q02562_SQ006","v_Q02562_SQ007","v_Q02562_SQ008","v_Q02562_SQ009","v_Q02562_SQ010","v_Q02562_other","v_Q0256","v_Q026"
"1","3",1.09861228866811,"1","0","2","1","2","3","0","2","1","2","1","1","1","1","1","1","1","1","1","347","Requerer registro de objetos espaciais brasileiros","Todos os objetos espacias brasileiros landados aos espaço devem ser registrados juntos a AEB. O registro de objetos mantido pela AEB é posteriormente é enviado para inclusão no registo de objetos espaciais mantido pelo Secretário-Geral da Organização das Nações Unidas, como previstos no Tratado para Exploração e Uso do Espaço Cósmico, inclusive a Lua e demais Corpos Celestes","AEB","INDIRETA","MCTIC","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","0","0","","","","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0",,"1",,3,"1",1,"2",,,,,,,,,,,,,"2",,,,,,,,,"6","0","1","0","0","0","0","1","3","0","0","1","0","0","0","0","0","2","","2","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,,1
"2","1",3.2188758248682,"3",,"2","1","2","1","1","2","1","3",,,,,,,,,,"343","Participação em eventos relacionados ao setor espacial","Solicitar a organização e/ou participação em eventos técnicos(discussões,feiras,seminários,etc.)relacionados ao setor espacial, com o objetivo de divulgar e de disseminar conhecimento.","AEB","INDIRETA","MCTIC","1","0","1","1","1","0","1","0","0","1","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","0","3","3","6","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","6","6",,25,"3",,"",,,,,,,,,,,,,"2",,,,,,,,,"4","1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","3","","2","2","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0",,"1",,,,,,,,,,,,1
"3","1",2.70805020110221,"1",,"2","1","2","1","1","2","1","3",,,,,,,,,,"354","Apoio técnico ao processo legislativo","Solicitar posicionamento sobre iniciativas do Congresso Nacional que se relacionam ao setor espacial.","AEB","INDIRETA","MCTIC","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","","","",,,,,,,,,,,,,,,,,,,,,"1",,15,"3",,"",,,,,,,,,,,,,"2",,,,,,,,,"4","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","3","","2","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",,"1",,,,,,,,,,,,2
"4","2",0.693147180559945,"1",,"2","1","2","1","1","2","0","2",,,,,,,,,,"325","Licença para Atividades Espaciais de Lançamento","Expedição de licenças para permitir a execução de atividades de lançamentos de veículos espaciais a partir do território brasileiro.","AEB","INDIRETA","MCTIC","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","","","","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","1",2,"3",,"",,,,,,,,,,,,,"2",,,,,,,,,"9","0","0","1","0","0","0","3","1","0","0","0","1","0","0","0","0","2","","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0",,"1",,,,,,,,,,,,1
"5","2",0.693147180559945,"1",,"2","1","2","1","1","2","0","2",,,,,,,,,,"369","Autorização para lançamento de objetos ao espaço","Emissão de autorização para lançamentos de objetos ao espaço exterior a partir do território nacional.","AEB","INDIRETA","MCTIC","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","","","","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","1",2,"3",,"",,,,,,,,,,,,,"2",,,,,,,,,"9","0","0","1","0","0","0","3","1","0","0","0","1","0","0","0","0","2","","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0",,"1",,,,,,,,,,,,1
"6","4",1.6094379124341,"1","0","2","2","2","1","0","1","0","1",,,,,,,,,,"442","Programa Microgravidade","Colocar cargas úteis de veículos espaciais à disposição da comunidade técnico-científica brasileira, provendo meios de acesso e suporte técnico para a viabilização de experimentos.","AEB","INDIRETA","MCTIC","2","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","1","1","1","0","","","",,,,,,,,,,,,,,,,,,,,,"1",,5,"1",1,"2",,,,,,,,,,,,,"1","1","0","0","1","0","0",,,"9","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","2","2","2","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,,4
"7","1",2.30258509299405,"1",,"2","2","2","1","0","2","0","3",,,,,,,,,,"321","Solicitar negociação para acordos e projetos internacionais na área espacial","As entidades representativas do setor espacial, inclusive do governo, reconhecendo uma oportunidade no exterior, podem acionar a AEB/ACI para, caso se verifique o interesse estratégico para o programa espacial brasileiro: (i) avaliar a oportunidade, fazendo contato preliminar com contraparte estrangeira; (ii) liderar as negociações com a contraparte; (iii) formatar e analisar propostas, minutas, etc; e (iv) promover, junto ao governo, a assinatura do acordo ou projeto.","AEB","INDIRETA","MCTIC","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","","","",,,,,,,,,,,,,,,,,,,,,"1",,10,"3",,"",,,,,,,,,,,,,"2",,,,,,,,,"10","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","3","","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",,"1",,,,,,,,,,,,2
"8","1",2.30258509299405,"1",,"2","2","2","1","1","2","0","3",,,,,,,,,,"335","Solicitar apoio substantivo para organização de evento internacional na área espacial.","As entidades representativas do setor espacial, inclusive do governo, desejando organizar evento no Brasil com participação de entidades e/ou representantes estrangeiras, ou no exterior com participação de entidades e/ou representantes brasileiras, podem acionar a AEB/ACI para, caso se verifique o interesse estratégico para o programa espacial brasileiro: (i) avaliar a oportunidade; (ii) planejar o evento, no que tange a seus aspectos substantivos, em conjunto com contraparte(s) estrangeira(s) e outras áreas da AEB; e (iii) executar o evento com apoio e/ou infraestrutura da AEB.","AEB","INDIRETA","MCTIC","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","","","",,,,,,,,,,,,,,,,,,,,,"1",,10,"3",,"",,,,,,,,,,,,,"2",,,,,,,,,"10","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","3","","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",,"1",,,,,,,,,,,,2
"9","4",1.09861228866811,,"0","1","2","2","1","0","1","0","3",,,,,,,,,,"136","Pesquisa de manifestação jurídica","Mediante a provocação do canal Ouvidoria,  o cidadão pode obter infe ormações sobre manifestações jurídicas consultivas editadas pela AGU.","AGU","INDIRETA","AGU","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","","","",,,,,,,,,,,,,,,,,,,,,,,3,"1",90,"2",,,,,,,,,,,,,"1","0","1","0","0","0","0",,,"4","1","0","0","0","0","0",,"1","0","0","1","0",,,,"0","3","","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","4",,,,,,,,,,,,,,,,,,,,,,,1
"10","4",6.91373735065968,"1","0","1","2","2","1","0","2","1","1",,,,,,,,,,"105","Defesa de terras da União tradicionalmente ocupadas por indígenas","Defesa judicial das terras indígenas. Na verdade a AGU atende os órgãos responsáveis pela identificação, demarcação, homologação e registro das terras (FUNAI e Ministério da Justiça).","AGU","INDIRETA","AGU","2","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","3","2","6",,,,,,,,,,,,,,,,,,,,"4","1",,1006,"1",400,"2",,,,,,,,,,,,,"2",,,,,,,,,"10","1","0","0","0","0","0",,"1","0","0","1","0",,,,"0","1",,"2","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","4",,,,,,,,,,,,,,,,,,,,,,,0
